,Sales Package,Model Number,Model Name,Type,Portable,Bluetooth,Memory Card Slot,Configuration,Power Source,Frequency Response,Impedance,Color,Wired/Wireless,Wall Mountable Satellite,Built-in Fm Radio,Outdoor Usage,Headphone Jack,Driver Type,Compatible Devices,Connector Type,USB Ports,Amplifier,Other Audio Features,Chassis Material,Controls,Remote Control Support,Power Input,Other System Requirements,Satellite Weight,Width,Height,Depth,Warranty Service Type,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Power Output (RMS),Display Type,Signal to Noise Ratio,Sensitivity,Memory Card Supported,Charging Time,Battery,Battery Capacity,Bluetooth Range,Driver Size,Coverage Pattern,Cable Length,Subwoofer,Distortion,Technology Used,Other Features,Audio Codec,Maximum Output RMS Per Satellite,Maximum SPL,Tweeter Support,Maximum Output RMS Subwoofer,Maximum Output RMS Center Satellite,Separation,Subwoofer Width,Subwoofer Weight,Subwoofer Height,Subwoofer Depth,Tweeter Diameter,International Warranty,Satellite Width,Satellite Height,Satellite Depth,Center Satellite Width,Center Satellite Height,Center Satellite Depth,Center Satellite Weight
10,"Bluetooth Speaker, Charging Cable",Wireless Rechargeable Brand New Top Selling Portable Stereo sound Multimedia home audio/gaming Speaker for Mobile/Tablet,Play,Mobile/Tablet Speaker,,Yes,No,2.2,AC Adapter,70 - 15k Hz,3,Black,Wireless,No,Yes,Yes,Yes,1 Subwoofer and 4 Satellite Speakers,"Mobile, Laptop, Tablet",,1 USB Ports,,HD sound,No,PREV/NEXT - PLAY/PAUSE - VOL - RECORDING,,"5 V, 1 A",,,8 cm,17.9 cm,8 cm,Service Center,1 year manufacturing warranty,Manufacturing defects,Physically Damage,1 Year,24 W,,90 dB,,TFT Card,1.5 hr,Use Time 10 hr,1200 mAh,10 m,5.25 inch (Subwoofer),,,1,,,"Zeb-county is a compact and handy portable speaker that comes with multi-connectivity options like wireless BT/USB/micro SD and AUX. The speaker comes with a call function along with a built-in fm radio too
. Speaker impedance 4Ω
. Frequency response 120hz-15khz
. Charging time 4-5 hrs, Playback time approx. 10 hrs",,,,,,,,,,,,,,,,,,,,
11,"1 Mini Soundbar, Charging Cable, User Manual",Zeb- Vita Pro,"PSPK9 (County) Bluetooth Speaker with Built-in FM Radio ,Aux input",Soundbar,,"5.1  withAVRCP, A2DP",Yes,2.2 Channel,Battery,120 - 15000 Hz,4 Ohms,Black,Wired & Wireless,Yes,Yes,Yes,Yes,,"Mobile, Laptop, Computer,tabllet",,1 USB Ports,,,"Yes, PLASTIC Chassis","Play, Pause, Volume, Blueooth Pairing, Power",,5,,,47.4 cm,6.5 cm,6.5 cm,1 Year Warranty. For claims please send email to support@mivi.in or call 8099973333,1 Year Service Center Warranty,Repair,Damaged,1 Year,78 W,,90 dB,,SD CARD,2.5 hr,"Rechargeable, Use Time 5 hr",4000 mAh,10 m,"4 inch (Subwoofer), 2.5 inch (Satellite Speaker)",,,1,,,"IP67 Waterproof, Ultra Portable Speaker, Crystal Clear Sound",,,,,,,,,,,,,,,,,,,,
12,"4 Speakers, 1 SubWoofer, 1 Remote",IT-4.1 XM BANG SUFB / 4.1 BANG PLUS FMUB OS,"Fort S60 with 2 in-built subwoofers, Made in India",Home Theatre,,Yes,No,5.1,AC Adapter,20Hz to 20Khz,3,Black,Wireless,No,No,Yes,Yes,,"Mobiles, Laptop, Tablet",,1 USB Ports,,,"Yes, PLASTIC Chassis",PREV/NEXT - PLAY/PAUSE - VOL - RECORDING,,5,,,20.6 cm,44 cm,31.6 cm,NO WARRANTY,1 year warranty provided by the manufacturer from date of purchase,NO WARRANTY,NO WARRANTY,1 Year,10 W,,55 dB,,Micro SD,1.5 hr,Use Time 8 hrs,30 mAh,10 m,2 inch,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Bluetooth Speaker, Type C Charging Cable, User Manual",SoundDrum 1 POR-1327,Aavante Bar 1550,Mobile/Tablet Speaker,,"5.0  withAVRCP, A2DP,HSP 1.2,HFP",Yes,5.1 Channel,DC Adapter,120 - 15000,6,Blue,Wireless,Yes,Yes,Yes,No,,"MOBILES, LAPTOPS",,1 USB Ports,,,Wooden Chassis,"Play, Pause, Volume, Bluetooth Pairing, Power",,"AC 100 - 240 V, 50/60 Hz",,,4 cm,7 cm,4 cm,Reach out to us at info@imaginemarketingindia.com/+912249461882/support.boat-lifestyle.com. Alternatively you can activate your warranty by giving a missed call on 9223032222,NO WARRANTY,1 year carry into service center,Physical Damages,1 Year,3 W,,85 dB,,No,1.5 hr,"RECHARGEABLE, Use Time 5 hr",1200 mAh,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1 Speaker, Micro USB Charging Cable, Aux Cable, User Manual",ZEB-PSPK9,Stone 190,Mobile/Tablet Speaker,,Yes,No,2.0,"Rechargeable, USB",80 - 20000 Hz,4,Green,Wireless,Yes,Yes,Yes,No,,"Computer, Mobile and Television",,1 USB Ports,,,"No, Front Plastic with Wooden Cabinet (Subwoofer) and Plastic (Satellite) Chassis","Easy responsive controls change music tracks, Volume control",,AC 110 - 285 V,,,14.2 cm,11.2 cm,7 cm,Reach out to us at info@imaginemarketingindia.com/+912249461882/support.boat-lifestyle.com. Alternatively you can activate your warranty by giving a missed call on 9223032222,1 Year Manufacturing warranty from the date of purchase,Manufacturing Defects,Physical Damage,1 Year,5 W,,,,SD CARD,2 hr,"Lithium Polymer, Use Time 4000 mAh",1200 mAh,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1 Speaker,BS5PL-BK,Wireless rechargeable portable Premium bass Multimedia FFRARTG-113,Mobile/Tablet Speaker,,5,Yes,2.0 Channel,External,150hz—20khz,4 ohms*2+4 ohms,Black,Wireless,Yes,No,No,Yes,,"Laptop / Desktop, Mobile, Home TV, Tablet",,1 USB Ports,,,"No, Plastic Chassis","Play, Pause, Volume, Bluetooth Pairing, Power",,5V,,,8 cm,7 cm,6.8 cm,"Off-site Service, Customer Need to Visit Service Center","1 year warranty over manufacturing defect, physical damages are not covered.",Manufacturing Defects,Physically Damage,0 Year,3 W,,,,SD CARD,2.5 hr,"Lithium-ion Polymer, Use Time 5 hrs",2200 mAh,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"1 Speaker, Micro USB Charging Cable, Aux Cable, User Manual",ZEB-PSPK9,"SoundDrum P Wireless Speaker with 6-7 hrs Playback Time, Handsfree Calling,",Mobile/Tablet Speaker,,Yes,No,Stereo,USB,45Hz-20KHz,4O,Black,Wireless,No,Yes,Yes,,,"Computer, Mobile and Television",,,,,,,,5,,,5 cm,20 cm,15 cm,NA,1 Year Warranty from the Date of Purchase,Manufacturing Defects,Physical Damages,1 Year,60 W,,,,TF Card,2.5 hrs,"RECHARGEABLE, Use Time 4 hr",1000 mAh,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Soundbar, Remote, Power Adapter, User Manual, Warranty Card",SBFTS60,"Go Essential with Rich Bass, 5 Hrs Playtime, IPX7 Waterproof, Ultra Portable",Soundbar,,"4.2  withA2DP, AVRCP",No,Stereo Channel,USB Cable,180Hz-20kHz,16,Black,Wired & Wireless,No,Yes,Yes,,,"COMPUTER, LAPTOP",,,,,,,,,,,9 cm,80 cm,8 cm,Off-site,"Whatsapp Invoice Product Images, Videos and Issue in Brief on +91 9818265642",Manufacturing Defects,Physical Damage,1 Year,10 W,,,,Yes,,"RECHARGEABLE, Use Time 5 hr",,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"1 N Speaker, 1N Charging Cable, 1 N AUX Cable",M51 (PORTABLE HOME TV SOUNDBAR) Dynamic Thunder Sound 2400mAh Battery,AmphisoundX with HDMI Arc,Soundbar,,Yes,No,Mono,BATTERY,20KHZ,16,Black,Wired,,Yes,Yes,,,"Mobile Phones, Laptop",,,,,,,,,,,38 cm,5.5 cm,5.5 cm,India_escalations@harman.com 1800-102-0525,1 Year Manufacturing Warranty,Manufacturing Defects,Physical Damage,1 Year,120 W,,,,No,,NA,,20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Soundbar, Subwoofer, Remote, Screws for Wall Mount, AUX in Cable, User Manual, Warranty Card",Aavante Bar 1550,Wireless rechargeable portable Premium bass Multimedia FFR-RDTG-113,Soundbar,,5,Yes,Mono Channel,Battery,300,16,Black,Wired & Wireless,,Yes,,,,"Mobile, Tablet, Laptop",,,,,,,,,,,96 cm,26 cm,45 cm,NA,1 Year Warranty Provided by the Manufacturer from Date of Purchase,Manufacturing Defects,Physical Damage,1 Year,5 watt,,,,,,Use Time 12 hrs,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1 X 2.0 channel speaker,Zeb - Fame,TG-113 Ultra 3D Dynamic Thunder Sound With High Bass Wireless Portable Speaker�,Laptop/Desktop Speaker,,Yes,Yes,Stereo,BATTERY,180 - 20000 Hz,"4 Ohms (Subwoofer), 8 Ohms (Satellite)",Black,Wireless,,Yes,,,,"MOBILE, TABLET, LAPTOP",,,,,,,,,,,8.9 cm,11.2 cm,6.5 cm,NA,"Whatsapp Invoice Product Images, Videos and Issue in Brief on +91 9818265642",Manufacturing Defects,Physical Damages,1 Year,14 W,,,,,,"Li-Polymer, Use Time 12 hr",,8 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Stone 1000, Charging Cable, Aux Cable, User Manual, Warranty Card",Stone 1000 / Stone 1010,"Cinema SB270 2.1, Dolby digital, Wireless Subwoofer,HDMI",Mobile/Tablet Speaker,,5.1,No,Stereo Channel,BATTERY,300,4 Ohms,Black,Wired & Wireless,,,,,,"Smartphone, Laptop, Tablet",,,,,,,,,,,27.8 cm,11 cm,8 cm,India_escalations@harman.com 1800-102-0525,"Whatsapp Invoice Product Images, Videos and Issue in Brief on +91 9818265642",Manufacturing Defects,Breakage and Mishandling,1 Year,70 W,,,,,,Use Time 10 hr,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"1 unit speaker, 1 unit charging cable, 1 unit aux cable, 1 unit user manual",ZEB-SOUND FEAST 500,NANO PLUS,Party Speaker,,Yes,Yes,Stereo,AC Adapter,300,3,Black,Wired & Wireless,,,,,,"MOBILE, TABLET, LAPTOP",,,,,,,,,,,42.7 cm,16.3 cm,18.8 cm,Reach Out to Us at info@imaginemarketingindia.com or +912249461882 or support.boat-lifestyle.com. Alternatively You Can Activate Your Warranty by Giving a Missed Call on 9223032222.,1 Year Warranty Provided by the Manufacturer from Date of Purchase,Manufacturing defects,Physical Damages,1 Year,5 W,,,,,,"Li-polymer, Use Time 5 hrs",,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"1 Speaker, Charging Cable, User Manual, Warranty Card",Stone 190,IT-2616 BT,Mobile/Tablet Speaker,,5.0  withA2DP and AVRCP,Yes,Stereo Channel,220V AC,40 Hz - 20 kHz,,Black,Wireless,,,,,,"Television, Laptop, Tablet, Mobile, Audio Player",,,,,,,,,,,10.3 cm,10.3 cm,4.3 cm,Customer needs to send the product to service centre,1 Year Warranty from the Date of Purchase,Manufacturing Damages,"Any Type of Damage. However if Required, Intex will Repair the Same with Chargeable Basis",1 Year,9 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"1 BLUETOOTH SPEAKER, 1 CHARGING CABLE",Best Popularity High Bass Bluetooth speaker,Play,Mobile/Tablet Speaker,,Yes,Yes,4.1,AC supply,20 Hz - 20 KHz,,Multicolor,Wired & Wireless,,,,,,"Mobile, Tablet, Laptop",,,,,,,,,,,5 cm,20 cm,5 cm,Reach out to us at�info@imaginemarketingindia.com/+912249461882/support.boat-lifestyle.com. Alternatively you can activate your�warranty�by giving a missed call on 9223032222,1 Year Warranty from the Date of Purchase,Manufacturing Defects,Physical Damage,6 Months,20 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Speaker 1N, Charging Cable 1N, User Manual 1N",POR-1578,"PSPK9 (County) Bluetooth Speaker with Built-in FM Radio ,Aux input",Mobile/Tablet Speaker,,5.0,No,4.1 Channel,Battery,20Hz to 20Khz,,Black,Wired & Wireless,,,,,,"Smartphones, TV, Laptops, Ipod, Wired Speakers, DVD Player",,,,,,,,,,,10.5 cm,12.5 cm,10.5 cm,Intex Customer Care Helpline No - 0120-4895555,1 Year Domestic Warranty from the Date of Purchase,Manufacturer Defects,Physical and Liquid Damage,1 Year,3.1 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"1 Speaker, Micro USB Cable, Safety Sheet, Quick Start Guide, Warranty Card",JBLGOESBLK,GO 3 with IP67 Water and Dust Resistant,Mobile/Tablet Speaker,,Yes,No,Mono,AC Adapter,120 - 15000 Hz,,Black,Wireless,,,,,,"Mobile, Laptop, Tablet",,,,,,,,,,,8.6 cm,7.12 cm,4 cm,1 Year Warranty. For claims please send email to support@mivi.in or call 8099973333,1 year warranty provided by the manufacturer from date of purchase,Repair,Physical Damages,1 Year,160 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Soundbar, Subwoofer, Power Cable, Aux Cable, User Manual, Remote Control, Wall Mounting Screws",MT160-5-SB21,,Soundbar,,5,Yes,Mono Channel,USB Chargeable,110 - 20000 Hz,,Black,Wired & Wireless,,,,,,"Mobile, Computer, Laptop and Tablet",,,,,,,,,,,94 cm,7.7 cm,6.5 cm,Manufacture defect,1 Year Warranty,Manufacturing Defects,,1 Year,9 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
